MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ BZN|DE-LU,Generation - Solar  [MW] Intraday / BZN|DE-LU,Generation - Solar  [MW] Current / BZN|DE-LU,Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-LU,Generation - Wind Offshore  [MW] Intraday / BZN|DE-LU,Generation - Wind Offshore  [MW] Current / BZN|DE-LU,Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-LU,Generation - Wind Onshore  [MW] Intraday / BZN|DE-LU,Generation - Wind Onshore  [MW] Current / BZN|DE-LU
01.01.2020 23:15 - 01.01.2020 23:30,0,0,,4372,4030,,8388,7866,
01.01.2020 23:30 - 01.01.2020 23:45,0,0,,4437,4078,,8368,7838,
01.01.2020 23:45 - 02.01.2020 00:00,0,0,,4502,4126,,8346,7815,
02.01.2020 00:00 - 02.01.2020 00:15,0,0,,4013,3871,,7272,8052,
02.01.2020 00:15 - 02.01.2020 00:30,0,0,,4072,3979,,7206,8029,
02.01.2020 00:30 - 02.01.2020 00:45,0,0,,4131,4050,,7139,7991,
02.01.2020 00:45 - 02.01.2020 01:00,0,0,,4189,4175,,7072,7942,
02.01.2020 01:00 - 02.01.2020 01:15,0,0,,4254,4387,,7017,7601,
02.01.2020 01:15 - 02.01.2020 01:30,0,0,,4326,4504,,7019,7459,
02.01.2020 01:30 - 02.01.2020 01:45,0,0,,4400,4562,,7022,7143,
02.01.2020 01:45 - 02.01.2020 02:00,0,0,,4475,4601,,7022,7030,
02.01.2020 02:00 - 02.01.2020 02:15,0,0,,4540,4515,,7117,6983,
02.01.2020 02:15 - 02.01.2020 02:30,0,0,,4590,4545,,7148,6993,
02.01.2020 02:30 - 02.01.2020 02:45,0,0,,4641,4610,,7181,7143,
02.01.2020 02:45 - 02.01.2020 03:00,0,0,,4691,4665,,7212,7042,
02.01.2020 03:00 - 02.01.2020 03:15,0,0,,4732,4773,,7241,6922,
02.01.2020 03:15 - 02.01.2020 03:30,0,0,,4754,4856,,7284,6914,
02.01.2020 03:30 - 02.01.2020 03:45,0,0,,4772,4988,,7333,6825,
02.01.2020 03:45 - 02.01.2020 04:00,0,0,,4792,5028,,7388,6735,
02.01.2020 04:00 - 02.01.2020 04:15,0,0,,4813,5057,,7462,6813,
02.01.2020 04:15 - 02.01.2020 04:30,0,0,,4839,5050,,7539,6926,
02.01.2020 04:30 - 02.01.2020 04:45,0,0,,4866,5074,,7617,6964,
02.01.2020 04:45 - 02.01.2020 05:00,0,0,,4893,5075,,7702,7049,
02.01.2020 05:00 - 02.01.2020 05:15,0,0,,4915,5079,,7803,7189,
02.01.2020 05:15 - 02.01.2020 05:30,0,0,,4945,5126,,7925,7376,
02.01.2020 05:30 - 02.01.2020 05:45,0,0,,4952,5064,,8061,7581,
02.01.2020 05:45 - 02.01.2020 06:00,0,0,,4976,5053,,8193,7742,
02.01.2020 06:00 - 02.01.2020 06:15,0,0,,5008,5022,,8341,7844,
02.01.2020 06:15 - 02.01.2020 06:30,0,0,,5071,5029,,8491,8004,
02.01.2020 06:30 - 02.01.2020 06:45,0,0,,5134,5028,,8641,8157,
02.01.2020 06:45 - 02.01.2020 07:00,0,0,,5193,5092,,8787,8362,
02.01.2020 07:00 - 02.01.2020 07:15,0,0,,5254,5123,,8925,8600,
02.01.2020 07:15 - 02.01.2020 07:30,0,0,,5323,5205,,9026,8786,
02.01.2020 07:30 - 02.01.2020 07:45,0,0,,5386,5300,,9133,8917,
02.01.2020 07:45 - 02.01.2020 08:00,0,0,,5450,5340,,9235,9103,
02.01.2020 08:00 - 02.01.2020 08:15,14,12,,5508,5369,,9347,9301,
02.01.2020 08:15 - 02.01.2020 08:30,121,97,,5549,5407,,9469,9479,
02.01.2020 08:30 - 02.01.2020 08:45,430,512,,5584,5441,,9597,9667,
02.01.2020 08:45 - 02.01.2020 09:00,1000,1160,,5614,5463,,9728,9859,
02.01.2020 09:00 - 02.01.2020 09:15,1708,1968,,5665,5509,,9816,10036,
02.01.2020 09:15 - 02.01.2020 09:30,2482,2856,,5717,5574,,9835,10155,
02.01.2020 09:30 - 02.01.2020 09:45,3271,3809,,5759,5629,,9866,10281,
02.01.2020 09:45 - 02.01.2020 10:00,4044,4794,,5802,5684,,9872,10385,
02.01.2020 10:00 - 02.01.2020 10:15,4777,5700,,5843,5744,,9861,10460,
02.01.2020 10:15 - 02.01.2020 10:30,5467,6556,,5871,5773,,9735,10350,
02.01.2020 10:30 - 02.01.2020 10:45,6078,7312,,5901,5800,,9610,10243,
02.01.2020 10:45 - 02.01.2020 11:00,6643,8048,,5924,5830,,9490,10131,
02.01.2020 11:00 - 02.01.2020 11:15,7134,8658,,5953,5853,,9388,10037,
02.01.2020 11:15 - 02.01.2020 11:30,7554,9151,,5974,5857,,9316,9918,
02.01.2020 11:30 - 02.01.2020 11:45,7897,9504,,5992,5860,,9248,9801,
02.01.2020 11:45 - 02.01.2020 12:00,8139,9808,,6012,5859,,9198,9708,
02.01.2020 12:00 - 02.01.2020 12:15,8259,9988,,6033,5860,,9138,9607,
02.01.2020 12:15 - 02.01.2020 12:30,8283,10035,,6044,5871,,9107,9508,
02.01.2020 12:30 - 02.01.2020 12:45,8222,9915,,6058,5890,,9073,9404,
02.01.2020 12:45 - 02.01.2020 13:00,8063,9741,,6073,5902,,9049,9312,
02.01.2020 13:00 - 02.01.2020 13:15,7821,9460,,6091,5913,,9024,9239,
02.01.2020 13:15 - 02.01.2020 13:30,7510,9058,,6107,5925,,9136,9339,
02.01.2020 13:30 - 02.01.2020 13:45,7070,8525,,6135,5950,,9244,9446,
02.01.2020 13:45 - 02.01.2020 14:00,6547,7897,,6153,5963,,9364,9566,
02.01.2020 14:00 - 02.01.2020 14:15,5947,6915,,6164,6030,,9483,9601,
02.01.2020 14:15 - 02.01.2020 14:30,5272,6110,,6166,6044,,9726,9808,
02.01.2020 14:30 - 02.01.2020 14:45,4540,5234,,6167,6060,,9974,10019,
02.01.2020 14:45 - 02.01.2020 15:00,3775,4354,,6166,6074,,10240,10250,
02.01.2020 15:00 - 02.01.2020 15:15,2986,3442,,6174,6086,,10526,10527,
02.01.2020 15:15 - 02.01.2020 15:30,2180,2518,,6193,6099,,10897,10899,
02.01.2020 15:30 - 02.01.2020 15:45,1404,1636,,6211,6108,,11276,11286,
02.01.2020 15:45 - 02.01.2020 16:00,733,892,,6227,6121,,11667,11673,
02.01.2020 16:00 - 02.01.2020 16:15,267,294,,6249,6128,,12077,12083,
02.01.2020 16:15 - 02.01.2020 16:30,64,90,,6258,6147,,12570,12532,
02.01.2020 16:30 - 02.01.2020 16:45,2,2,,6272,6161,,13066,12991,
02.01.2020 16:45 - 02.01.2020 17:00,0,0,,6289,6179,,13543,13443,
02.01.2020 17:00 - 02.01.2020 17:15,0,0,,6303,6193,,14038,13906,
02.01.2020 17:15 - 02.01.2020 17:30,0,0,,6309,6217,,14538,14346,
02.01.2020 17:30 - 02.01.2020 17:45,0,0,,6316,6238,,15043,14787,
02.01.2020 17:45 - 02.01.2020 18:00,0,0,,6323,6256,,15543,15218,
02.01.2020 18:00 - 02.01.2020 18:15,0,0,,6331,6272,,16042,15638,
02.01.2020 18:15 - 02.01.2020 18:30,0,0,,6344,6284,,16472,15996,
02.01.2020 18:30 - 02.01.2020 18:45,0,0,,6351,6298,,16906,16362,
02.01.2020 18:45 - 02.01.2020 19:00,0,0,,6361,6311,,17329,16736,
02.01.2020 19:00 - 02.01.2020 19:15,0,0,,6349,6302,,17754,17098,
02.01.2020 19:15 - 02.01.2020 19:30,0,0,,6360,6321,,18048,17344,
02.01.2020 19:30 - 02.01.2020 19:45,0,0,,6372,6340,,18343,17594,
02.01.2020 19:45 - 02.01.2020 20:00,0,0,,6381,6360,,18648,17838,
02.01.2020 20:00 - 02.01.2020 20:15,0,0,,6392,6380,,18983,18067,
02.01.2020 20:15 - 02.01.2020 20:30,0,0,,6408,6385,,19270,18276,
02.01.2020 20:30 - 02.01.2020 20:45,0,0,,6420,6392,,19562,18493,
02.01.2020 20:45 - 02.01.2020 21:00,0,0,,6433,6395,,19869,18725,
02.01.2020 21:00 - 02.01.2020 21:15,0,0,,6447,6403,,20152,18954,
02.01.2020 21:15 - 02.01.2020 21:30,0,0,,6449,6392,,20400,19209,
02.01.2020 21:30 - 02.01.2020 21:45,0,0,,6452,6380,,20641,19465,
02.01.2020 21:45 - 02.01.2020 22:00,0,0,,6456,6372,,20881,19723,
02.01.2020 22:00 - 02.01.2020 22:15,0,0,,6494,6393,,20945,19834,
02.01.2020 22:15 - 02.01.2020 22:30,0,0,,6487,6405,,21162,20093,
02.01.2020 22:30 - 02.01.2020 22:45,0,0,,6481,6417,,21379,20348,
02.01.2020 22:45 - 02.01.2020 23:00,0,0,,6470,6427,,21612,20604,
02.01.2020 23:00 - 02.01.2020 23:15,0,0,,6462,6435,,21840,20864,
02.01.2020 23:15 - 02.01.2020 23:30,0,0,,6455,6435,,22060,21135,
02.01.2020 23:30 - 02.01.2020 23:45,0,0,,6453,6435,,22285,21414,
02.01.2020 23:45 - 03.01.2020 00:00,0,0,,6453,6435,,22517,21704,
03.01.2020 00:00 - 03.01.2020 00:15,0,0,,6510,6610,,21405,18512,
03.01.2020 00:15 - 03.01.2020 00:30,0,0,,6516,6616,,21667,18941,
03.01.2020 00:30 - 03.01.2020 00:45,0,0,,6524,6647,,21932,19271,
03.01.2020 00:45 - 03.01.2020 01:00,0,0,,6531,6616,,22206,19618,
03.01.2020 01:00 - 03.01.2020 01:15,0,0,,6537,6621,,22473,19864,
03.01.2020 01:15 - 03.01.2020 01:30,0,0,,6536,6626,,22698,20217,
03.01.2020 01:30 - 03.01.2020 01:45,0,0,,6536,6640,,22926,20595,
03.01.2020 01:45 - 03.01.2020 02:00,0,0,,6537,6632,,23148,20902,
03.01.2020 02:00 - 03.01.2020 02:15,0,0,,6542,6617,,23396,21037,
03.01.2020 02:15 - 03.01.2020 02:30,0,0,,6544,6610,,23585,21183,
03.01.2020 02:30 - 03.01.2020 02:45,0,0,,6547,6620,,23780,21219,
03.01.2020 02:45 - 03.01.2020 03:00,0,0,,6551,6623,,23976,21315,
03.01.2020 03:00 - 03.01.2020 03:15,0,0,,6553,6629,,24172,21525,
03.01.2020 03:15 - 03.01.2020 03:30,0,0,,6557,6625,,24362,21795,
03.01.2020 03:30 - 03.01.2020 03:45,0,0,,6558,6608,,24557,22037,
03.01.2020 03:45 - 03.01.2020 04:00,0,0,,6558,6605,,24748,22198,
03.01.2020 04:00 - 03.01.2020 04:15,0,0,,6563,6605,,24934,22481,
03.01.2020 04:15 - 03.01.2020 04:30,0,0,,6558,6578,,25085,22717,
03.01.2020 04:30 - 03.01.2020 04:45,0,0,,6563,6579,,25226,22988,
03.01.2020 04:45 - 03.01.2020 05:00,0,0,,6566,6585,,25366,23139,
03.01.2020 05:00 - 03.01.2020 05:15,0,0,,6566,6584,,25504,23339,
03.01.2020 05:15 - 03.01.2020 05:30,0,0,,6574,6585,,25625,23536,
03.01.2020 05:30 - 03.01.2020 05:45,0,0,,6572,6571,,25759,23716,
03.01.2020 05:45 - 03.01.2020 06:00,0,0,,6571,6577,,25875,23888,
03.01.2020 06:00 - 03.01.2020 06:15,0,0,,6532,6567,,26228,24337,
03.01.2020 06:15 - 03.01.2020 06:30,0,0,,6533,6570,,26379,24511,
03.01.2020 06:30 - 03.01.2020 06:45,0,0,,6532,6567,,26529,24557,
03.01.2020 06:45 - 03.01.2020 07:00,0,0,,6531,6565,,26680,24803,
